index,area_string,posted,neighborhood,post title,number_bedrooms,sqft,URL,price,requested
79,newyork,2021-11-27 14:13, (Levittown long island ),Furnished room,,,https://newyork.craigslist.org/lgi/roo/d/hicksville-furnished-room/7407963567.html,750,2021-11-27 17h26m47s
80,newyork,2021-11-27 14:09, (East Harlem),GORGEOUS BRAND NEW RENOVATED 2 BEDROOM 1 BATH*ROOMS FOR LEASE*MUST SEE,,1000.0,https://newyork.craigslist.org/mnh/roo/d/new-york-gorgeous-brand-new-renovated/7413333738.html,800,2021-11-27 17h26m47s
81,newyork,2021-11-27 14:06, (Bushwick brooklyn ),Bushwick  area ..will not last..private room,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-bushwick-area-will-not/7410440038.html,300,2021-11-27 17h26m47s
82,newyork,2021-11-27 13:51, (BROOKLYN HEIGHTS brooklyn ),1 Room Available in 2br apartment,2,,https://newyork.craigslist.org/brk/roo/d/brooklyn-room-available-in-2br-apartment/7413323643.html,1300,2021-11-27 17h26m47s
83,newyork,2021-11-27 13:50, (Bedford Stuyvesant brooklyn ),Seeking roommate for spacious 3-bedroom TRIPLEX w/ BACKYARD,3,,https://newyork.craigslist.org/brk/roo/d/brooklyn-seeking-roommate-for-spacious/7413322523.html,1450,2021-11-27 17h26m47s
84,newyork,2021-11-27 13:44, (Harlem / Morningside),Room for rent.,1,,https://newyork.craigslist.org/mnh/roo/d/new-york-room-for-rent/7412543887.html,950,2021-11-27 17h26m47s
85,newyork,2021-11-27 13:43, ( queens ),ROOMMATE NEEDED FOR AN AMAZING APARTMENT! SEPARATE STUDIO,2,1300.0,https://newyork.craigslist.org/que/roo/d/astoria-roommate-needed-for-an-amazing/7408880135.html,1450,2021-11-27 17h26m47s
86,newyork,2021-11-27 13:43, ( queens ),LOOKING FOR (1) ROOMMATE FOR AN AMAZING APARTMENT! Share with 1 person,2,1300.0,https://newyork.craigslist.org/que/roo/d/astoria-looking-for-roommate-for-an/7408880303.html,1450,2021-11-27 17h26m47s
87,newyork,2021-11-27 13:40, (Inwood / Wash Hts),Big furnished room,1,,https://newyork.craigslist.org/mnh/roo/d/new-york-big-furnished-room/7412514769.html,1000,2021-11-27 17h26m47s
88,newyork,2021-11-27 13:35, (Bronx/Mount Vernon bronx ),ROOMS FOR RENT!! Read ad,,,https://newyork.craigslist.org/brx/roo/d/bronx-rooms-for-rent-read-ad/7409928801.html,800,2021-11-27 17h26m47s
89,newyork,2021-11-27 13:35, (jersey city new jersey ),NICE ROOM NEAR JOURNAL SQ PATH,1,,https://newyork.craigslist.org/jsy/roo/d/jersey-city-nice-room-near-journal-sq/7411180652.html,700,2021-11-27 17h26m47s
90,newyork,2021-11-27 13:30, (Forest Hills queens ),Modern Shared Medical Office in Prime Forest Hills,,,https://newyork.craigslist.org/que/roo/d/forest-hills-modern-shared-medical/7411163119.html,700,2021-11-27 17h26m47s
91,newyork,2021-11-27 13:29," (Bay Ridge, Brooklyn brooklyn )",Room for rent - train 25 min to Lower Manhattan,,168.0,https://newyork.craigslist.org/brk/roo/d/room-for-rent-train-25-min-to-lower/7410742459.html,750,2021-11-27 17h26m47s
92,newyork,2021-11-27 13:21, (Harlem / Morningside),NICE FURNISHED ROOM FOR RENT! EVERYTHING INCLUDED!,5,120.0,https://newyork.craigslist.org/mnh/roo/d/new-york-nice-furnished-room-for-rent/7404944249.html,900,2021-11-27 17h26m47s
93,newyork,2021-11-27 13:17," (Brooklyn, East New York brooklyn )",Private basement room for rent - 40-50 years of age female or male,1,,https://newyork.craigslist.org/brk/roo/d/brooklyn-private-basement-room-for-rent/7406833350.html,750,2021-11-27 17h26m47s
94,newyork,2021-11-27 13:16, (HUNTS POINT AREA bronx ),Room For Rent,,,https://newyork.craigslist.org/brx/roo/d/room-for-rent/7403091842.html,220,2021-11-27 17h26m47s
95,newyork,2021-11-27 13:12, (Bedford Park bronx ),"VERY LARGE, BRIGHT BEDROOMS AVAILABLE IN A GORGEOUS RESTORED TOWNHOUSE",,,https://newyork.craigslist.org/brx/roo/d/bronx-very-large-bright-bedrooms/7403981131.html,400,2021-11-27 17h26m47s
96,newyork,2021-11-27 13:07, (Brooklyn brooklyn ),private SUNNY ROOM- no fee - laundry in unit bedstuy,3,,https://newyork.craigslist.org/brk/roo/d/brooklyn-private-sunny-room-no-fee/7413288466.html,900,2021-11-27 17h26m47s
97,newyork,2021-11-27 13:03, (Upper West Side),Sweet Sofa Bed with all utilities NO DEPOSIT NO LEASE,,,https://newyork.craigslist.org/mnh/roo/d/bronx-sweet-sofa-bed-with-all-utilities/7407753443.html,950,2021-11-27 17h26m47s
98,newyork,2021-11-27 13:01, (Harlem / Morningside),Roommate for 2 Bedroom Apartment in Harlem,2,,https://newyork.craigslist.org/mnh/roo/d/new-york-roommate-for-bedroom-apartment/7413294497.html,1000,2021-11-27 17h26m47s
99,newyork,2021-11-27 13:00, (Upper East Side),Sunny Room Avail Now in 2BR/2BA Share,,1038.0,https://newyork.craigslist.org/mnh/roo/d/new-york-sunny-room-avail-now-in-2br/7402766736.html,1650,2021-11-27 17h26m47s
100,newyork,2021-11-27 12:59," (NORWALK fairfield co, CT )",BEAUTIFUL NEWLY REMODELED 3 BEDROOM APARTMENT TO SHARE 950,3,1100.0,https://newyork.craigslist.org/fct/roo/d/norwalk-beautiful-newly-remodeled/7400718992.html,950,2021-11-27 17h26m47s
101,newyork,2021-11-27 12:59," (NORWALK fairfield co, CT )",BEAUTIFUL NEWLY REMODELED 3 BEDROOM APARTMENT TO SHARE 950,3,1100.0,https://newyork.craigslist.org/fct/roo/d/norwalk-beautiful-newly-remodeled/7400718891.html,950,2021-11-27 17h26m47s
102,newyork,2021-11-27 12:53, (Harlem / Morningside),Adam Clayton Powell jr. blvd & 113th Str,3,200.0,https://newyork.craigslist.org/mnh/roo/d/new-york-adam-clayton-powell-jr-blvd/7410512439.html,1200,2021-11-27 17h26m47s
103,newyork,2021-11-27 12:48, (OZONE PARK queens ),PRIVATE BATH. ROOM ON 2ND FL. ROOMMATE WANTED . NEAR ALL. INC ALL,2,,https://newyork.craigslist.org/que/roo/d/private-bath-room-on-2nd-fl-roommate/7413280608.html,1300,2021-11-27 17h26m47s
104,newyork,2021-11-27 12:38, (Prospect-Lefferts Gardens brooklyn ),Furnished Room,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-furnished-room/7413281781.html,900,2021-11-27 17h26m47s
105,newyork,2021-11-27 12:38, (RIDGEWOOD queens ),"PRIVATE ROOM AT STANHOPE STREET, utilities inc",,,https://newyork.craigslist.org/que/roo/d/brooklyn-private-room-at-stanhope/7413277121.html,800,2021-11-27 17h26m47s
106,newyork,2021-11-27 12:37, (QUEENS / OZONE PARK queens ),"Roommate for spacious 2 br apartment. Inc WIFI, Internet, Utilities &",,,https://newyork.craigslist.org/que/roo/d/ozone-park-roommate-for-spacious-br/7413280964.html,1300,2021-11-27 17h26m47s
107,newyork,2021-11-27 12:33, (WOODSIDE queens ),"PRIVATE ROOM WITH PRIVATE BATHROOM, international student house",,,https://newyork.craigslist.org/que/roo/d/woodside-private-room-with-private/7413278779.html,1200,2021-11-27 17h26m47s
108,newyork,2021-11-27 12:29, ((New York) manhattan ),Nice big cozy room for RENT in a 2 bedroom,,,https://newyork.craigslist.org/mnh/roo/d/new-york-nice-big-cozy-room-for-rent-in/7401607075.html,460,2021-11-27 17h26m47s
109,newyork,2021-11-27 12:28, (ASTORIA queens ),ROOM FOR RENT,,,https://newyork.craigslist.org/que/roo/d/astoria-room-for-rent/7413272463.html,895,2021-11-27 17h26m47s
110,newyork,2021-11-27 12:25, (JACKSON HEIGHTS queens ),"No Broker FEE, Renovated apartment Private room, utilities inc",,,https://newyork.craigslist.org/que/roo/d/jackson-heights-no-broker-fee-renovated/7413273875.html,700,2021-11-27 17h26m47s
111,newyork,2021-11-27 12:21," (Forest Hills, NY 11375 queens )",Master bedroom with private bathroom in Forest Hills Neighborhood.....,,,https://newyork.craigslist.org/que/roo/d/forest-hills-master-bedroom-with/7412277090.html,1150,2021-11-27 17h26m47s
112,newyork,2021-11-27 12:21," (Forest Hills, NY 11375 queens )",Master bedroom with private bathroom in Forest Hills Neighborhood.....,,,https://newyork.craigslist.org/que/roo/d/forest-hills-master-bedroom-with/7412277275.html,1150,2021-11-27 17h26m47s
113,newyork,2021-11-27 12:19, (East Williamsburg brooklyn ),Room Available ASAP,3,,https://newyork.craigslist.org/brk/roo/d/brooklyn-room-available-asap/7413270530.html,1500,2021-11-27 17h26m47s
114,newyork,2021-11-27 12:17, (RIDGEWOOD queens ),NEWLY RENOVATED ROOM AT HARMAN STREET,,,https://newyork.craigslist.org/que/roo/d/brooklyn-newly-renovated-room-at-harman/7413263706.html,600,2021-11-27 17h26m47s
115,newyork,2021-11-27 12:16, (RIDGEWOOD queens ),CELLAR PRIVATE ROOM AT STANHOPE STREET,,,https://newyork.craigslist.org/que/roo/d/brooklyn-cellar-private-room-at/7413268864.html,650,2021-11-27 17h26m47s
